relative_path,sha256
images/British_Shorthair_64.jpg,d8fdc639ecd357ac9206361779991d39dab78386670ae7e1f97419124e60310f
images/Egyptian_Mau_62.jpg,0724ab92fda5011d18949f235c8f99ae85a5c88eb509f7f018b23ae5b0e18668
images/Ragdoll_183.jpg,20f5dc97976d5ac7146ba5d7fd6fbfb7cd38974882d524d210b2e5e6ff1f657b
images/boxer_16.jpg,34557e46d2d28db1ec5cf49f90b58e9503a2d655387bee8a22cab154def900c7
images/english_setter_1.jpg,26ad500df57352e871d9f43fe13ab6784079ae48cdbb02f5a46c91bff7f11a01
images/samoyed_39.jpg,9ea0a3a9a6c6a67d051b463f7f219209dd733d8c4539f2310a958481abe0c045
trimaps/British_Shorthair_64.png,6757edf71e0f31fc657d2fe23949302fd0ab7f103114a822a372eaf2c4bb781e
trimaps/Egyptian_Mau_62.png,9ae54132c833fac12e66b4532c25ea1167235a9b1ab1ac1b55cc91b7fb0d8489
trimaps/Ragdoll_183.png,9da4b24a0c36a4d4f895dc50bbee7bd8130875345b4340a600a9d1901c9cafc9
trimaps/boxer_16.png,17ee62f667436567ae945964d381db0423a940a2e02d29c4f6f35f961b80ca1c
trimaps/english_setter_1.png,45b7b09efcb4e159d7e1edb950f5de711d6d06e525530c069caea62dea38979f
trimaps/samoyed_39.png,f31943bec0e358fc7910e0b6f040417af734969a7d98ba446c7b76d440283214
